sno	CandidateName	Party_Name	EVM Votes	Postal Votes	Total Votes	%Votes	constuency
2	Dr. Ashok Kumar Walia	Indian National Congress	5032	47	5079	3.46	KRISHNA NAGAR
3	S. K. Bagga (Advocate)	Aam Aadmi Party	71936	175	72111	49.1	KRISHNA NAGAR
4	Advocate Manjeet Singh	Bahujan Samaj Party	358	4	362	0.25	KRISHNA NAGAR
5	Charanjeet	Aapki Apni Party (Peoples)	304	2	306	0.21	KRISHNA NAGAR
6	Munish Bagga	Rashtriya Rashtrawadi Party	234	1	235	0.16	KRISHNA NAGAR
7	Suresh Kumar	Baliraja Party	114	0	114	0.08	KRISHNA NAGAR
8	NOTA	None of the Above	527	5	532	0.36	KRISHNA NAGAR
1	ANIL KUMAR BAJPAI	Bharatiya Janata Party	48657	167	48824	42.64	GANDHI NAGAR
2	ARVINDER SINGH LOVELY	Indian National Congress	21818	95	21913	19.14	GANDHI NAGAR
3	TIKRAJ SINGH	Bahujan Samaj Party	352	5	357	0.31	GANDHI NAGAR
4	NAVEEN CHAUDHARY	Aam Aadmi Party	42610	135	42745	37.33	GANDHI NAGAR
5	MUKESH KUMAR	Independent	164	0	164	0.14	GANDHI NAGAR
6	RAVINDRA KUMAR	Independent	88	0	88	0.08	GANDHI NAGAR
7	MD. HAROON	Independent	90	0	90	0.08	GANDHI NAGAR
8	NOTA	None of the Above	326	0	326	0.28	GANDHI NAGAR
1	INDU	Bahujan Samaj Party	677	25	702	0.56	SHAHDARA
2	DR. NARENDER NATH	Indian National Congress	4387	87	4474	3.57	SHAHDARA
3	RAM NIWAS GOEL	Aam Aadmi Party	61808	295	62103	49.53	SHAHDARA
4	SANJAY GOYAL	Bharatiya Janata Party	56416	393	56809	45.31	SHAHDARA
5	ALLAH BAKASH	Rashtriya Jansambhavna Party	223	0	223	0.18	SHAHDARA
6	NISHANT SHARMA	Proutist Bloc, India	375	0	375	0.3	SHAHDARA
7	RANJANA MUNESH CHAUHAN	Bhartiya Samajik Nyay Party	195	0	195	0.16	SHAHDARA
8	VIMLA	Sabse Badi Party	91	0	91	0.07	SHAHDARA
9	NOTA	None of the Above	405	6	411	0.33	SHAHDARA
1	KAMAL SINGH	Bahujan Samaj Party	1532	33	1565	1.17	SEEMA PURI(SC)
2	RAJENDRA PAL GAUTAM	Aam Aadmi Party	88080	312	88392	65.82	SEEMA PURI(SC)
3	VEER SINGH DHINGAN	Indian National Congress	7568	93	7661	5.7	SEEMA PURI(SC)
4	BADAN SINGH	Sarvjan Lok Shakti Party	1099	5	1104	0.82	SEEMA PURI(SC)
5	MANOJ KUMAR	Peoples Party of India (Democratic)	716	4	720	0.54	SEEMA PURI(SC)
6	RAJESH KUMAR LOHIYA	Bhartiya Samajik Nyay Party	271	0	271	0.2	SEEMA PURI(SC)
7	LALIT KUMAR	Mazdoor Ekta Party	418	1	419	0.31	SEEMA PURI(SC)
8	VIJAY	Jan Seva Sahayak Party	357	1	358	0.27	SEEMA PURI(SC)
